id,canonical_name,category,subtype,key_attributes_schema,default_iq,default_oq,default_pq,default_calibration_months,default_maintenance_months,default_requalification_months,risk_level,regulatory_references,search_aliases,locale_overrides,notes
,Medical Refrigerator,Cold Chain,2°C to 8°C Upright,"{""temperature_range"":{""type"":""range"",""units"":""C""},""volume"":{""type"":""number"",""units"":""L""},""defrost_type"":{""type"":""enum"",""values"":[""Manual"",""Auto""]}}",TRUE,TRUE,TRUE,12,12,12,Medium,FDA QMSR;ISO 13485;ISO 14971,fridge;cold storage;chiller;unit storage,{},PQ typically requires 24-72 hour temperature mapping study.
,Ultra-Low Freezer,Cold Chain,-80°C Cascade Freezer,"{""temp_setpoint"":{""type"":""number"",""units"":""C""},""backup_battery"":{""type"":""boolean""},""co2_backup"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,12,High,FDA QMSR;ISO 13485;ISO 14971;21 CFR 1271,ULT;deep freeze;minus 80;cryo storage,{},Critical for HCT/P and biologics. Requires alarm verification in OQ.
,Controlled Rate Freezer,Cold Chain,Liquid Nitrogen (LN2),"{""cooling_rate"":{""type"":""number"",""units"":""C/min""},""chamber_volume"":{""type"":""number"",""units"":""L""},""gas_source"":{""type"":""string""}}",TRUE,TRUE,TRUE,6,6,12,High,21 CFR 1271;FDA QMSR;ISO 13485,cryopreservation;cell freezer;LN2 freezer,{},Used in HCT/P for minimal cell damage during freezing.
,Analytical Balance,Measurement & Metrology,4-Place Analytical,"{""readability"":{""type"":""number"",""units"":""mg""},""capacity"":{""type"":""number"",""units"":""g""},""internal_cal"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,12,12,,Medium,USP <1058>;USP <1251>;ISO 17025,scale;weighing;mass meter;analytical scale,{},USP <1058> Group B. Daily check required before use.
,Microbalance,Measurement & Metrology,6-Place Micro,"{""readability"":{""type"":""number"",""units"":""ug""},""min_weight"":{""type"":""number"",""units"":""mg""},""anti_static"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,6,6,,High,USP <1058>;USP <1251>;ISO 17025,precision scale;micro scale;fine balance,{},Highly sensitive to vibration and airflow. OQ includes corner load tests.
,Biosafety Cabinet (BSC),Environment & Safety,Class II Type A2,"{""inflow_vel"":{""type"":""number"",""units"":""fpm""},""downflow_vel"":{""type"":""number"",""units"":""fpm""},""hepa_eff"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,TRUE,12,12,12,High,NSF 49;ISO 14644;FDA QMSR,hood;bio-hood;laminar flow;cell culture hood,{},Requires annual certification for HEPA integrity and airflow velocity.
,Biosafety Cabinet (BSC),Environment & Safety,Class II Type B2,"{""exhaust_vol"":{""type"":""number"",""units"":""cfm""},""static_press"":{""type"":""number"",""units"":""in_wg""},""total_exhaust"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,12,High,NSF 49;ISO 14644;FDA QMSR,total exhaust hood;chemical bio hood;B2 BSC,{},Mandatory for volatile chemicals or radionuclides. Hard-ducted to exhaust.
,Steam Autoclave,Sterilization & Decontamination,Pre-Vacuum Large Batch,"{""chamber_vol"":{""type"":""number"",""units"":""L""},""max_press"":{""type"":""number"",""units"":""psi""},""max_temp"":{""type"":""number"",""units"":""C""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 17665;ISO 11138;ANSI/AAMI ST79,sterilizer;steam kettle;high-pressure steam,{},PQ must include biological indicator (BI) kill studies (3 consecutive runs).
,Laboratory Incubator,Analytical Laboratory,CO2/Cell Culture,"{""co2_range"":{""type"":""range"",""units"":""%""},""temp_range"":{""type"":""range"",""units"":""C""},""humidity"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,6,6,12,High,FDA QMSR;ISO 13485;USP <1058>,cell incubator;CO2 chamber;culture unit,{},Critical for cell growth. PQ involves CO2 and temp mapping with load.
,HPLC System,Analytical Laboratory,Quaternary Gradient,"{""pump_pressure"":{""type"":""number"",""units"":""bar""},""flow_precision"":{""type"":""number"",""units"":""%""},""detector"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,6,12,Medium,USP <1058>;21 CFR Part 11;ISO 13485,chromatography;liquid chromatograph;Agilent;Waters,{},USP <1058> Group C. Requires computerized system validation (CSV).
