obligation_id|standard_id|standard_code|qualification_phase|domain|title|description|cohort|equipment_types|clause|verification_expectation|acceptance_criteria|rationale|status|introduced_in_version|deprecated_in_version|superseded_by|required_capabilities
OBL_21CFR11_AUDIT_0001|STD_21CFR11|21 CFR Part 11|OQ|AUDIT_TRAILS_TRACEABILITY|Electronic audit trail capability|Computerized systems that create electronic records implement secure computer-generated audit trails for creation modification and deletion of records.|Facilities & Utilities|EMS|11.10(e)|Verify that the system generates a secure time-stamped audit trail for creation modification and deletion of electronic records.|Audit trail is generated and is secure time-stamped and attributable; record changes do not obscure previously recorded information.|21 CFR 11.10(e) requires secure audit trails for electronic records.|active|v1.0|||HAS_AUDIT_TRAIL
OBL_21CFR11_AUDIT_0002|STD_21CFR11|21 CFR Part 11|OQ|AUDIT_TRAILS_TRACEABILITY|Electronic audit trail capability|Computerized systems that create electronic records implement secure computer-generated audit trails for creation modification and deletion of records.|Metrology|CMM;Optical Measurement System;Particle Counter;Universal Testing Machine;Force/Torque Tester|11.10(e)|Verify that the system generates a secure time-stamped audit trail for creation modification and deletion of electronic records.|Audit trail is generated and is secure time-stamped and attributable; record changes do not obscure previously recorded information.|21 CFR 11.10(e) requires secure audit trails for electronic records.|active|v1.0|||HAS_AUDIT_TRAIL
OBL_21CFR11_AUDIT_0003|STD_21CFR11|21 CFR Part 11|OQ|AUDIT_TRAILS_TRACEABILITY|Electronic audit trail capability|Computerized systems that create electronic records implement secure computer-generated audit trails for creation modification and deletion of records.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity);Ethylene Oxide Sterilizer;EtO Aeration System;Radiation Sterilization (Gamma);Radiation Sterilization (E-Beam);VHP Decontamination System;Dry Heat Oven|11.10(e)|Verify that the system generates a secure time-stamped audit trail for creation modification and deletion of electronic records.|Audit trail is generated and is secure time-stamped and attributable; record changes do not obscure previously recorded information.|21 CFR 11.10(e) requires secure audit trails for electronic records.|active|v1.0|||HAS_AUDIT_TRAIL
OBL_21CFR11_AUDIT_0004|STD_21CFR11|21 CFR Part 11|OQ|AUDIT_TRAILS_TRACEABILITY|Electronic audit trail capability|Computerized systems that create electronic records implement secure computer-generated audit trails for creation modification and deletion of records.|Analytical|HPLC System;GC/MS System;FTIR Spectrometer;UV-Vis Spectrophotometer;TOC Analyzer;pH Measurement System;Conductivity Measurement System;Microplate Reader|11.10(e)|Verify that the system generates a secure time-stamped audit trail for creation modification and deletion of electronic records.|Audit trail is generated and is secure time-stamped and attributable; record changes do not obscure previously recorded information.|21 CFR 11.10(e) requires secure audit trails for electronic records.|active|v1.0|||HAS_AUDIT_TRAIL
OBL_21CFR11_AUDIT_0005|STD_21CFR11|21 CFR Part 11|OQ|AUDIT_TRAILS_TRACEABILITY|Electronic audit trail capability|Computerized systems that create electronic records implement secure computer-generated audit trails for creation modification and deletion of records.|IVD|Clinical Chemistry Analyzer;Hematology Analyzer;Blood Gas Analyzer|11.10(e)|Verify that the system generates a secure time-stamped audit trail for creation modification and deletion of electronic records.|Audit trail is generated and is secure time-stamped and attributable; record changes do not obscure previously recorded information.|21 CFR 11.10(e) requires secure audit trails for electronic records.|active|v1.0|||HAS_AUDIT_TRAIL
OBL_21CFR11_AUDIT_0006|STD_21CFR11|21 CFR Part 11|OQ|AUDIT_TRAILS_TRACEABILITY|Electronic audit trail capability|Computerized systems that create electronic records implement secure computer-generated audit trails for creation modification and deletion of records.|Manufacturing|CNC Machining Center;CNC Turning Center;Laser Cutting System|11.10(e)|Verify that the system generates a secure time-stamped audit trail for creation modification and deletion of electronic records.|Audit trail is generated and is secure time-stamped and attributable; record changes do not obscure previously recorded information.|21 CFR 11.10(e) requires secure audit trails for electronic records.|active|v1.0|||HAS_AUDIT_TRAIL
OBL_21CFR11_AUDIT_0007|STD_21CFR11|21 CFR Part 11|OQ|AUDIT_TRAILS_TRACEABILITY|Electronic audit trail capability|Computerized systems that create electronic records implement secure computer-generated audit trails for creation modification and deletion of records.|Inspection & Test|Vision Inspection;X-Ray Inspection;Barcode Verifier|11.10(e)|Verify that the system generates a secure time-stamped audit trail for creation modification and deletion of electronic records.|Audit trail is generated and is secure time-stamped and attributable; record changes do not obscure previously recorded information.|21 CFR 11.10(e) requires secure audit trails for electronic records.|active|v1.0|||HAS_AUDIT_TRAIL
OBL_21CFR11_ACCESS_0001|STD_21CFR11|21 CFR Part 11|IQ|SYSTEM_ACCESS_SECURITY|System access limited to authorized individuals|Access to the computerized system is limited to authorized individuals.|Facilities & Utilities|EMS|11.10(d)|Verify that system access is limited to authorized individuals and that authority checks are in place.|Access control is implemented and only authorized individuals can use the system.|21 CFR 11.10(d) requires limiting system access to authorized individuals.|active|v1.0|||ACCESS_CONTROL_RESTRICTED
OBL_21CFR11_ACCESS_0002|STD_21CFR11|21 CFR Part 11|IQ|SYSTEM_ACCESS_SECURITY|System access limited to authorized individuals|Access to the computerized system is limited to authorized individuals.|Metrology|CMM;Optical Measurement System;Particle Counter;Universal Testing Machine;Force/Torque Tester|11.10(d)|Verify that system access is limited to authorized individuals and that authority checks are in place.|Access control is implemented and only authorized individuals can use the system.|21 CFR 11.10(d) requires limiting system access to authorized individuals.|active|v1.0|||ACCESS_CONTROL_RESTRICTED
OBL_21CFR11_ACCESS_0003|STD_21CFR11|21 CFR Part 11|IQ|SYSTEM_ACCESS_SECURITY|System access limited to authorized individuals|Access to the computerized system is limited to authorized individuals.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity);Ethylene Oxide Sterilizer;EtO Aeration System;VHP Decontamination System;Dry Heat Oven|11.10(d)|Verify that system access is limited to authorized individuals and that authority checks are in place.|Access control is implemented and only authorized individuals can use the system.|21 CFR 11.10(d) requires limiting system access to authorized individuals.|active|v1.0|||ACCESS_CONTROL_RESTRICTED
