obligation_id|standard_id|standard_code|qualification_phase|domain|title|description|cohort|equipment_types|clause|verification_expectation|acceptance_criteria|rationale|status|introduced_in_version|deprecated_in_version|superseded_by
OBL_IEC62304_SW_0001|STD_IEC62304|IEC 62304|IQ|CONFIGURATION_CHANGE_CONTROL|Software configuration and version documented|Software configuration and version information for equipment controlling quality-affecting functions are documented and controlled.|Metrology|CMM;Optical Measurement System;Particle Counter;Universal Testing Machine|5;6|Verify that software configuration version and SOUP (where applicable) are documented and subject to change control.|Software configuration is documented and controlled per software lifecycle procedures.|IEC 62304 requires configuration management for medical device software.|active|v1.0||
OBL_IEC62304_SW_0002|STD_IEC62304|IEC 62304|IQ|CONFIGURATION_CHANGE_CONTROL|Software configuration and version documented|Software configuration and version information for equipment controlling quality-affecting functions are documented and controlled.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity);Ethylene Oxide Sterilizer;EtO Aeration System;VHP Decontamination System;Dry Heat Oven|5;6|Verify that software configuration version and SOUP (where applicable) are documented and subject to change control.|Software configuration is documented and controlled per software lifecycle procedures.|IEC 62304 requires configuration management for medical device software.|active|v1.0||
OBL_IEC62304_SW_0003|STD_IEC62304|IEC 62304|IQ|CONFIGURATION_CHANGE_CONTROL|Software configuration and version documented|Software configuration and version information for equipment controlling quality-affecting functions are documented and controlled.|Analytical|HPLC System;GC/MS System;TOC Analyzer;Microplate Reader|5;6|Verify that software configuration version and SOUP (where applicable) are documented and subject to change control.|Software configuration is documented and controlled per software lifecycle procedures.|IEC 62304 requires configuration management for medical device software.|active|v1.0||
OBL_IEC62304_SW_0004|STD_IEC62304|IEC 62304|IQ|CONFIGURATION_CHANGE_CONTROL|Software configuration and version documented|Software configuration and version information for equipment controlling quality-affecting functions are documented and controlled.|IVD|Clinical Chemistry Analyzer;Hematology Analyzer;Blood Gas Analyzer|5;6|Verify that software configuration version and SOUP (where applicable) are documented and subject to change control.|Software configuration is documented and controlled per software lifecycle procedures.|IEC 62304 requires configuration management for medical device software.|active|v1.0||
OBL_IEC62304_SW_0005|STD_IEC62304|IEC 62304|IQ|CONFIGURATION_CHANGE_CONTROL|Software configuration and version documented|Software configuration and version information for equipment controlling quality-affecting functions are documented and controlled.|Manufacturing|CNC Machining Center;CNC Turning Center;Laser Cutting System|5;6|Verify that software configuration version and SOUP (where applicable) are documented and subject to change control.|Software configuration is documented and controlled per software lifecycle procedures.|IEC 62304 requires configuration management for medical device software.|active|v1.0||
OBL_IEC62304_SW_0006|STD_IEC62304|IEC 62304|OQ|FUNCTIONAL_PERFORMANCE|Software verification and validation performed|Software that controls quality-affecting equipment functions has been verified and validated per software lifecycle procedures.|Metrology|CMM;Optical Measurement System;Particle Counter;Universal Testing Machine|7;8|Verify that software verification and validation evidence exists and is traceable to requirements.|Software V&V has been performed per documented procedures with traceability to requirements.|IEC 62304 requires software verification and validation.|active|v1.0||
OBL_IEC62304_SW_0007|STD_IEC62304|IEC 62304|OQ|FUNCTIONAL_PERFORMANCE|Software verification and validation performed|Software that controls quality-affecting equipment functions has been verified and validated per software lifecycle procedures.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity);Ethylene Oxide Sterilizer;EtO Aeration System;VHP Decontamination System;Dry Heat Oven|7;8|Verify that software verification and validation evidence exists and is traceable to requirements.|Software V&V has been performed per documented procedures with traceability to requirements.|IEC 62304 requires software verification and validation.|active|v1.0||
OBL_IEC62304_SW_0008|STD_IEC62304|IEC 62304|OQ|FUNCTIONAL_PERFORMANCE|Software verification and validation performed|Software that controls quality-affecting equipment functions has been verified and validated per software lifecycle procedures.|Analytical|HPLC System;GC/MS System;TOC Analyzer;Microplate Reader|7;8|Verify that software verification and validation evidence exists and is traceable to requirements.|Software V&V has been performed per documented procedures with traceability to requirements.|IEC 62304 requires software verification and validation.|active|v1.0||
OBL_IEC62304_SW_0009|STD_IEC62304|IEC 62304|OQ|FUNCTIONAL_PERFORMANCE|Software verification and validation performed|Software that controls quality-affecting equipment functions has been verified and validated per software lifecycle procedures.|IVD|Clinical Chemistry Analyzer;Hematology Analyzer;Blood Gas Analyzer|7;8|Verify that software verification and validation evidence exists and is traceable to requirements.|Software V&V has been performed per documented procedures with traceability to requirements.|IEC 62304 requires software verification and validation.|active|v1.0||
OBL_IEC62304_SW_0010|STD_IEC62304|IEC 62304|OQ|FUNCTIONAL_PERFORMANCE|Software verification and validation performed|Software that controls quality-affecting equipment functions has been verified and validated per software lifecycle procedures.|Manufacturing|CNC Machining Center;CNC Turning Center;Laser Cutting System|7;8|Verify that software verification and validation evidence exists and is traceable to requirements.|Software V&V has been performed per documented procedures with traceability to requirements.|IEC 62304 requires software verification and validation.|active|v1.0||
