obligation_id|standard_id|standard_code|qualification_phase|domain|title|description|cohort|equipment_types|clause|verification_expectation|acceptance_criteria|rationale|status|introduced_in_version|deprecated_in_version|superseded_by
OBL_QMSR_DOC_0001|STD_QMSR|21 CFR 820|IQ|DATA_INTEGRITY_RECORDS|Required documentation is present and controlled|Required instrument documentation is present and controlled to support qualification and routine use.|Metrology|Analytical Balance;Microbalance;Force/Torque Tester;Handheld Dimensional Tool;CMM;Optical Measurement System;Environmental Probe;Particle Counter;Surface Profilometer;Universal Testing Machine;Hardness Tester|820.10;ISO 13485 4.2|Verify the presence and controlled status of manufacturer instructions installation instructions calibration evidence and applicable SOPs.|All required documents are present and uniquely identifiable with controlled access for intended users.|QMS requires controlled documentation for equipment affecting product quality.|active|v1.0||
OBL_QMSR_DOC_0002|STD_QMSR|21 CFR 820|IQ|DATA_INTEGRITY_RECORDS|Required documentation is present and controlled|Required equipment documentation is present and controlled to support qualification and routine use.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity);Ethylene Oxide Sterilizer;EtO Aeration System;Radiation Sterilization (Gamma);Radiation Sterilization (E-Beam);VHP Decontamination System;Dry Heat Oven|820.10;ISO 13485 4.2|Verify the presence and controlled status of manufacturer instructions installation instructions calibration evidence and applicable SOPs.|All required documents are present and uniquely identifiable with controlled access for intended users.|QMS requires controlled documentation for equipment affecting product quality.|active|v1.0||
OBL_QMSR_DOC_0003|STD_QMSR|21 CFR 820|IQ|DATA_INTEGRITY_RECORDS|Required documentation is present and controlled|Required equipment documentation is present and controlled to support qualification and routine use.|Packaging|Heat Sealer;Tray Sealer;Blister Sealer;Form-Fill-Seal Machine;Cartoner;Case Packer;Shrink Wrapper|820.10;ISO 13485 4.2|Verify the presence and controlled status of manufacturer instructions installation instructions calibration evidence and applicable SOPs.|All required documents are present and uniquely identifiable with controlled access for intended users.|QMS requires controlled documentation for equipment affecting product quality.|active|v1.0||
OBL_QMSR_DOC_0004|STD_QMSR|21 CFR 820|IQ|DATA_INTEGRITY_RECORDS|Required documentation is present and controlled|Required equipment documentation is present and controlled to support qualification and routine use.|Facilities & Utilities|Cleanroom HVAC;HEPA Filter;EMS;DP Monitor;Compressed Air System;Nitrogen Generator;Vacuum System;Process Chiller;Purified Water System;Biosafety Cabinet|820.10;ISO 13485 4.2|Verify the presence and controlled status of manufacturer instructions installation instructions calibration evidence and applicable SOPs.|All required documents are present and uniquely identifiable with controlled access for intended users.|QMS requires controlled documentation for equipment affecting product quality.|active|v1.0||
OBL_QMSR_DOC_0005|STD_QMSR|21 CFR 820|IQ|DATA_INTEGRITY_RECORDS|Required documentation is present and controlled|Required equipment documentation is present and controlled to support qualification and routine use.|Inspection & Test|Vision Inspection;X-Ray Inspection;Metal Detector;Checkweigher;Leak Tester;Burst Tester;Seal Strength Tester;Dye Penetration Tester;Barcode Verifier;Label Applicator|820.10;ISO 13485 4.2|Verify the presence and controlled status of manufacturer instructions installation instructions calibration evidence and applicable SOPs.|All required documents are present and uniquely identifiable with controlled access for intended users.|QMS requires controlled documentation for equipment affecting product quality.|active|v1.0||
OBL_QMSR_DOC_0006|STD_QMSR|21 CFR 820|IQ|DATA_INTEGRITY_RECORDS|Required documentation is present and controlled|Required equipment documentation is present and controlled to support qualification and routine use.|Assembly & Joining|Automated Assembly Cell;Press-Fit Station;Crimping Machine;Heat Staking Machine;Adhesive Dispenser;Torque Fastening System|820.10;ISO 13485 4.2|Verify the presence and controlled status of manufacturer instructions installation instructions calibration evidence and applicable SOPs.|All required documents are present and uniquely identifiable with controlled access for intended users.|QMS requires controlled documentation for equipment affecting product quality.|active|v1.0||
OBL_QMSR_DOC_0007|STD_QMSR|21 CFR 820|IQ|DATA_INTEGRITY_RECORDS|Required documentation is present and controlled|Required equipment documentation is present and controlled to support qualification and routine use.|Cold Chain & Storage|Refrigerator;Freezer;Ultra-Low Freezer;Cryogenic Storage;Controlled-Rate Freezer|820.10;ISO 13485 4.2|Verify the presence and controlled status of manufacturer instructions installation instructions calibration evidence and applicable SOPs.|All required documents are present and uniquely identifiable with controlled access for intended users.|QMS requires controlled documentation for equipment affecting product quality.|active|v1.0||
OBL_QMSR_INSTALL_0001|STD_QMSR|21 CFR 820|IQ|INSTALLATION_ENVIRONMENT|Installation environment is suitable|The equipment is installed in an environment suitable for accurate and reliable operation.|Metrology|Analytical Balance;Microbalance;Force/Torque Tester;Handheld Dimensional Tool;CMM;Optical Measurement System;Environmental Probe;Particle Counter;Surface Profilometer;Universal Testing Machine|ISO 13485 7.1.4|Verify installation location suitability: stable bench/surface appropriate clearance absence of excessive vibration and airflow.|Installation environment meets documented requirements for the equipment intended use.|Environmental conditions can affect measurement integrity and repeatability.|active|v1.0||
OBL_QMSR_INSTALL_0002|STD_QMSR|21 CFR 820|IQ|INSTALLATION_ENVIRONMENT|Installation environment is suitable|The equipment is installed in an environment suitable for intended operation.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity);Ethylene Oxide Sterilizer;EtO Aeration System;Radiation Sterilization (Gamma);Radiation Sterilization (E-Beam);VHP Decontamination System;Dry Heat Oven|ISO 13485 7.1.4|Verify installation utilities drainage and space suitability for intended sterilization cycles.|Installation environment meets documented requirements for the equipment intended use.|Environmental and utility conditions affect sterilization performance.|active|v1.0||
OBL_QMSR_INSTALL_0003|STD_QMSR|21 CFR 820|IQ|INSTALLATION_ENVIRONMENT|Installation environment is suitable|The equipment is installed in an environment suitable for intended operation.|Packaging|Heat Sealer;Tray Sealer;Blister Sealer;Form-Fill-Seal Machine;Cartoner;Case Packer;Shrink Wrapper|ISO 13485 7.1.4|Verify installation space utilities and environmental conditions suitability.|Installation environment meets documented requirements for the equipment intended use.|Environmental conditions can affect sealing and packaging consistency.|active|v1.0||
