Cleanroom HVAC System|Facilities & Utilities|Cleanroom HVAC|{"environment_classification":"string","airflow_controlled":"boolean","filtration_stages":"number","temperature_controlled":"boolean","humidity_controlled":"boolean","has_data_logger":"boolean"}|High|STD_ISO14644
HEPA Filtration Unit|Facilities & Utilities|HEPA Filter|{"filter_efficiency_class":"string","leak_test_required":"boolean"}|High|STD_ISO14644_3
Environmental Monitoring System|Facilities & Utilities|EMS|{"continuous_monitoring":"boolean","parameters_monitored":"array","has_data_logger":"boolean","has_audit_trail":"boolean","alarm_management_present":"boolean","software_controlled":"boolean"}|High|STD_ISO14644;STD_PART11
Differential Pressure Monitoring System|Facilities & Utilities|DP Monitor|{"pressure_range_class":"string","alarm_present":"boolean","continuous_monitoring":"boolean","has_data_logger":"boolean"}|Medium|STD_ISO14644
Compressed Air System|Facilities & Utilities|Compressed Air System|{"utility_type":"compressed_air","quality_class":"string","dew_point_controlled":"boolean","has_data_logger":"boolean","oil_free":"boolean"}|High|STD_ISO8573
Nitrogen Generation System|Facilities & Utilities|Nitrogen Generator|{"utility_type":"nitrogen","purity_class":"string","has_data_logger":"boolean","flow_capacity_class":"string"}|Medium|STD_QMS_PROCESS_VALIDATION
Central Vacuum System|Facilities & Utilities|Vacuum System|{"utility_type":"vacuum","vacuum_level_class":"string","has_data_logger":"boolean","process_connected":"boolean"}|Medium|STD_QMS_PROCESS_VALIDATION
Process Chiller|Facilities & Utilities|Process Chiller|{"temperature_controlled":"boolean","cooling_capacity_class":"string","has_data_logger":"boolean","redundant_circuits":"boolean"}|Medium|STD_QMS_PROCESS_VALIDATION
Purified Water System|Facilities & Utilities|Purified Water System|{"water_quality_type":"string","sanitization_method":"string","continuous_monitoring":"boolean","has_data_logger":"boolean","distribution_loop_present":"boolean"}|High|STD_USP_1231
Biosafety Cabinet|Facilities & Utilities|Biosafety Cabinet|{"class":"string","recirculating":"boolean","hepa_integrity_testable":"boolean"}|High|STD_NSF49
